zeit	anzahl1	anzahl2	haeufigkeit
5.00998333333333	21		
5.02996666666667	24		
5.04996666666667	14		
5.06998333333333	17		
5.08998333333333	18		
5.11	9		
5.13	24		
5.14998333333333	16		
5.16998333333333	15		
5.18998333333333	15		
5.20996666666667	16		
5.22998333333333	14		
5.24998333333333	16		
5.26998333333333	19		
5.28998333333333	20		
5.30998333333333	17		
5.32998333333333	21		
5.34996666666667	18		
5.36998333333333	23		
5.38998333333333	14		
5.40996666666667	20		
5.42996666666667	15		
5.44998333333333	20		
5.46998333333333	19		
5.48998333333333	12		
5.50998333333333	14		
5.52996666666667	17		
5.54998333333333	10		
5.57	15		
5.58998333333333	21		
5.60998333333333	21		
5.62996666666667	19		
5.64998333333333	16		
5.66998333333333	21		
5.68996666666667	14		
5.71	15		
5.72998333333333	17		
5.74998333333333	28		
5.76998333333333	12		
5.78998333333333	17		
5.80996666666667	15		
5.82998333333333	13		
5.84998333333333	16		
5.86998333333333	8		
5.88998333333333	19		
5.90998333333333	11		
5.92998333333333	13		
5.95	16		
5.96998333333333	13		
5.98998333333333	19		
6.00996666666667	7		
6.02998333333333	14		
6.04998333333333	21		
6.06998333333333	16		
6.08996666666667	9		
6.10998333333333	17		
6.12998333333333	15		
6.14998333333333	14		
6.16998333333333	11		
6.18996666666667	20		
6.20998333333333	17		
6.22998333333333	15		
6.25	10		
6.26996666666667	12		
6.28996666666667	12		
6.31	17		
6.32998333333333	13		
6.34996666666667	19		
6.36996666666667	14		
6.39	12		
6.40998333333333	17		
6.42998333333333	12		
6.44998333333333	16		
6.46998333333333	18		
6.48996666666667	11		
6.50998333333333	21		
6.52998333333333	27		
6.54996666666667	17		
6.56998333333333	10		
6.58998333333333	17		
6.60998333333333	16		
6.62998333333333	16		
6.64996666666667	22		
6.66998333333333	10		
6.68998333333333	29		
6.71	12		
6.72998333333333	19		
6.74998333333333	20		
6.76998333333333	7		
6.78996666666667	20		
6.80996666666667	19		
6.82998333333333	26		
6.84996666666667	22		
6.86998333333333	19		
6.88996666666667	18		
6.90998333333333	17		
6.93	22		
6.94998333333333	14		
6.96996666666667	12		
6.98998333333333	18		
7.00998333333333	22		
7.03	11		
7.04996666666667	15		
7.06996666666667	14		
7.08831666666667	15		
7.1083	21		
7.12831666666667	14		
7.14831666666667	14		
7.1683	16		
7.18831666666667	14		
7.20831666666667	16		
7.22831666666667	15		
7.24831666666667	16		
7.26831666666667	17		
7.28831666666667	10		
7.30831666666667	8		
7.32831666666667	14		
7.34831666666667	18		
7.36831666666667	13		
7.38833333333333	14		
7.40831666666667	9		
7.42831666666667	16		
7.44831666666667	19		
7.46831666666667	17		
7.48831666666667	9		
7.50831666666667	16		
7.5283	18		
7.54831666666667	19		
7.56833333333333	13		
7.58833333333333	17		
7.60831666666667	13		
7.62831666666667	12		
7.6483	14		
7.66831666666667	20		
7.68833333333333	13		
7.70831666666667	15		
7.7283	13		
7.74831666666667	23		
7.76831666666667	13		
7.78831666666667	19		
7.80831666666667	15		
7.82831666666667	19		
7.84831666666667	13		
7.86833333333333	11		
7.8883	15		
7.90831666666667	25		
7.92831666666667	11		
7.94831666666667	16		
7.96831666666667	13		
7.9883	16		
8.00831666666667	26		
8.02833333333333	10		
8.04831666666667	13		
8.06831666666667	25		
8.08831666666667	24		
8.10831666666667	13		
8.1283	12		
8.14831666666667	17		
8.16833333333333	14		
8.18831666666667	17		
8.20831666666667	21		
8.22831666666667	15		
8.24831666666667	20		
8.26833333333333	11		
8.28833333333333	15		
8.3083	17		
8.32831666666667	13		
8.34831666666667	8		
8.36831666666667	15		
8.38833333333333	17		
8.40831666666667	14		
8.42831666666667	11		
8.4483	19		
8.46831666666667	17		
8.48831666666667	21		
8.5083	19		
8.52831666666667	17		
8.5483	12		
8.56831666666667	13		
8.58831666666667	19		
8.60831666666667	19		
8.62831666666667	14		
8.6483	15		
8.6683	22		
8.68831666666667	13		
8.70831666666667	23		
8.7283	13		
8.74831666666667	11		
8.7683	20		
8.78831666666667	16		
8.80831666666667	17		
8.82833333333333	20		
8.84831666666667	11		
8.86831666666667	17		
8.88831666666667	15		
8.90833333333333	14		
8.92831666666667	19		
8.94833333333333	16		
8.96831666666667	18		
8.98665	15		
9.00665	13		
9.02663333333333	13		
9.04665	22		
9.06663333333333	19		
9.08665	13		
9.10665	21		
9.12665	10		
9.14665	18		
9.16665	21		
9.18665	13		
9.20498333333333	15		
9.22498333333333	19		
9.24496666666667	10		
9.26498333333333	10		
9.28498333333333	22		
9.30496666666667	12		
9.32498333333333	14		
9.34498333333334	18		
9.365	15		
9.38498333333333	15		
9.40498333333333	19		
9.42498333333333	14		
9.44496666666667	22		
9.46498333333333	12		
9.48498333333333	18		
9.50498333333333	14		
9.52496666666667	19		
9.54498333333333	14		
9.56496666666667	18		
9.58498333333333	14		
9.60498333333333	18		
9.625	15		
9.64496666666667	10		
9.66498333333333	22		
9.68498333333333	16		
9.70496666666667	19		
9.72498333333333	13		
9.74498333333333	21		
9.76498333333333	20		
9.78498333333333	13		
9.80498333333333	14		
9.82498333333333	11		
9.84496666666667	20		
9.86496666666667	16		
9.885	20		
9.90498333333333	16		
9.92498333333333	15		
9.94498333333333	17		
9.965	11		
9.98498333333333	18
